doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
173,2,가입,0.6662,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",다운로드
174,2,가입,0.6656,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",다운
175,2,가입,0.7653,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",체크 오류 잠시 후시 메세지
188,2,가입,0.7453,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",우리사주 제도 안내 해설 우리사주 조합 결성 운영 우리사주 예탁 관리 우리사주 조합원 예탁 주식 관리 우리사주 예탁 주식 이용한
190,2,가입,0.833,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",외부 그동안 뱅킹앱 업무 처리 뱅킹 방문 출시 다운 디자인 기능 이제 번창
191,2,가입,0.7606,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",오오 모바일 처음 적응 도움
192,2,가입,0.8312,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",한국증권금융 뱅킹 우리사주 관리 부자
194,2,가입,0.7502,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",블랙앱 설치 장비 라고 보안 책상 종료 블랙앱 블랙앱이라 루팅
195,2,가입,0.8217,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",모바일 처음 메뉴 접근
197,2,가입,0.666,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",뱅킹
201,2,가입,0.7605,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",모바일 서비스 디자인 핸드폰
202,2,가입,0.6616,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",우리사주
203,2,가입,0.6616,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",우리사주 국내 유일 전문 서비스
207,2,가입,0.4512,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",네오 대출 가입
208,2,가입,0.6384,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",오류
213,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기
216,2,가입,0.6662,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",디자인
217,2,가입,0.4862,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",디자인 전반 변경 개선
219,2,가입,0.8298,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",관리 요즘 트렌드 오류
220,2,가입,0.6657,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",요즘 개편 해진
221,2,가입,0.6824,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",인증 로그인 설치 작동 메뉴 불편 금융 처음 사주
226,2,가입,0.3902,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",불편 개선 감사
227,2,가입,0.9121,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",가입 아이 입력 가입 가입 정보 조회 지도 모바일 공지
229,2,가입,0.9221,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",조합원 회원 가입 비밀번호 조건 앱에서 가입 본인인증 ID 입력 단계 종료 오류
239,2,가입,0.83,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",처음 오류 처음
240,2,가입,0.6516,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",신분증 카메라 권한 신청 신청
242,2,가입,0.4807,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",우리사주 로그인 실패 회원 가입 비밀번호 연속 숫자 하면 처음 나가 타기관 금융인증서 공동인증서 네이버 인증 간편인증 삭제
246,2,가입,0.6659,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",관리
248,2,가입,0.6659,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",관리 이정 도면 슈킹
249,2,가입,0.5665,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",가입 인증센터 등록 통과 오류 불이 개발 고소
250,2,가입,0.4799,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",다운 개선 부탁
255,2,가입,0.7767,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",희대 쓰레기 요즘
256,2,가입,0.6384,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",오류
261,2,가입,0.6616,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",우리사주 저질 오브 저질
262,2,가입,0.7762,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",이정 도면 쓰레기 쓰레기
264,2,가입,0.6385,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",오류 완료
265,2,가입,0.7776,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",회원 가입 동의
270,2,가입,0.7762,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",홈페이지 쓰레기 쓰레기
277,2,가입,0.8301,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",회원 가입 단계 오류 말라
278,2,가입,0.884,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",리뷰 처음 오류 응답 지도 요즘 세대 쓰레기 기업 운영 어이
289,2,가입,0.6664,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",사이트 플러그인 설치 요청
293,2,가입,0.6664,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",설치 조치
295,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기
309,2,가입,0.7439,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",변조 종료 메세지
311,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기
313,2,가입,0.8583,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",기존 컴퓨터 조회 외부 불편 모바일뱅킹 오픈 우리사주 조회 앞으로 업그레이드 해주시
314,2,가입,0.6662,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",디자인
316,2,가입,0.6995,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",한눈 인간 본성 구성 우리사주 부분 개발자 미래 카카오톡 위치
