doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
268,0,로그인,0.8873,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로직 거지 로그인 인증서 인증서 로그인 분노
271,0,로그인,0.8663,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",등록 공동인증서 필요 등록 고객정보 개발 장난
272,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",고생
273,0,로그인,0.9475,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",타기관 인증서 등록 로그인 로그인 공동인증서 공동인증서 타기관 공동인증서 등록 거지 쓰레기 경우 비밀번호 로그인
275,0,로그인,0.6512,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",개발자 반성
276,0,로그인,0.9689,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",생체 인증 등록 고객 제도 정보 갱신 정보 갱신 입력 최소 공동인증서 이상 드러워 공동인증서 금융인증서 복사 고객 제도 갱신
279,0,로그인,0.7474,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",고객정보 인증 로그인 방식 확정 고객정보 확정 메뉴 선택 고객정보 확정 아이 비밀번호 로그인
280,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",거도
281,0,로그인,0.8782,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",타기관 인증서 등록 완료 메세지 관련 내용 공지 한국증권금융
282,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",오류로 지연
283,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",최소한 시스템 구축
284,0,로그인,0.8317,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",인증서 갱신 공동인증서 만기
285,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",아이폰 탈옥 단말 라고
286,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",불안정
290,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",금융인증서 설정
291,0,로그인,0.7699,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",UI 금융인증서 작동
292,0,로그인,0.8332,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",타기관 공동인증서 등록 이유
294,0,로그인,0.7777,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",등록 공동인증서
296,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",라고 얼마 하청
297,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",대체 방치
298,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",프로그레스 돌고
299,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",증권 거래 피해 보상 당장 복구
300,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",지난주
303,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",모래시계
304,0,로그인,0.6553,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",아이폰 인증서
305,0,로그인,0.6626,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",부서 외부 감사 탈탈
306,0,로그인,0.7646,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",조회 로그인
307,0,로그인,0.6665,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",타사 등록
308,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",최적화
310,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",변조
312,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",인터넷뱅킹 모바일뱅킹 핸드폰 업무
315,0,로그인,0.457,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로그인 도화면 소리 쓰레기
317,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",하네
